date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:00	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-64deeb90-8f7db9c78306be3c;;;%22	https://edygrad.com/robots.txt		(from )
22:15:01	259670/259670	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2005:15:01%20GMT	https://edygrad.com/	C:/xampp/htdocs/edygrad/edygrad.com/index.html	(from )
22:15:02	54616/54616	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2005:15:02%20GMT	https://edygrad.com/store/1/favicon2.png	C:/xampp/htdocs/edygrad/edygrad.com/store/1/favicon2.html	(from https://edygrad.com/)
22:15:02	8143/8143	---M-Z	200	added ('OK')	application/json	etag:%221fcf-64deeb90-f4b0d0177d9fffb5;gz%22	https://edygrad.com/mix-manifest.json?v=4	C:/xampp/htdocs/edygrad/edygrad.com/mix-manifest7b30.json	(from https://edygrad.com/)
22:15:02	54616/54616	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2005:15:02%20GMT	https://edygrad.com/ms-icon-144x144.png	C:/xampp/htdocs/edygrad/edygrad.com/ms-icon-144x144.html	(from https://edygrad.com/)
22:15:03	54616/54616	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2005:15:03%20GMT	https://edygrad.com/EDYGRAD	C:/xampp/htdocs/edygrad/edygrad.com/EDYGRAD.html	(from https://edygrad.com/)
22:15:03	54616/54616	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2005:15:03%20GMT	https://edygrad.com/en_US	C:/xampp/htdocs/edygrad/edygrad.com/en_US.html	(from https://edygrad.com/)
22:15:03	24870/24870	---M-Z	200	added ('OK')	text/css	etag:%226126-64deeb90-e12bf0bc9e3eb044;gz%22	https://edygrad.com/assets/default/vendors/sweetalert2/dist/sweetalert2.min.css	C:/xampp/htdocs/edygrad/edygrad.com/assets/default/vendors/sweetalert2/dist/sweetalert2.min.css	(from https://edygrad.com/)
22:15:03	4508/4508	---M-Z	200	added ('OK')	text/css	etag:%22119c-64deeb90-fc1c4b09732e9bba;gz%22	https://edygrad.com/assets/default/vendors/toast/jquery.toast.min.css	C:/xampp/htdocs/edygrad/edygrad.com/assets/default/vendors/toast/jquery.toast.min.css	(from https://edygrad.com/)
22:15:04	3889/3889	---M-Z	200	added ('OK')	text/css	etag:%22f31-64deeb90-47d3d68c3f97b55a;gz%22	https://edygrad.com/assets/default/vendors/simplebar/simplebar.css	C:/xampp/htdocs/edygrad/edygrad.com/assets/default/vendors/simplebar/simplebar.css	(from https://edygrad.com/)
